Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
2,0.016667,46,-0.001368,-0.009253,0.020314,0.025242,0.004545,-0.001697,-0.027978,0.025570,0.012101,0.031483
2,0.016667,47,-0.001368,-0.010567,0.018014,0.022285,0.010458,-0.003668,-0.026993,0.022942,0.021628,0.039039
3,0.025000,48,-0.001368,-0.006624,0.021628,0.021956,0.005859,-0.001368,-0.028964,0.026227,0.032469,0.038382
3,0.025000,49,-0.007939,-0.002354,0.021628,0.020642,0.005202,-0.003339,-0.032906,0.025570,0.044953,0.049223
3,0.025000,50,0.011115,-0.000054,0.020971,0.020971,0.005859,-0.000054,-0.026335,0.018671,0.029184,0.045610
3,0.025000,51,0.003560,0.005531,0.024585,0.020642,0.008816,-0.001040,-0.027978,0.025570,0.043310,0.035097
3,0.025000,52,0.003231,-0.000711,0.019328,0.022942,0.014729,-0.000383,-0.026007,0.021956,0.034769,0.062035
3,0.025000,53,0.001917,-0.003668,0.021628,0.026227,0.013415,-0.003339,-0.026993,0.021956,0.026556,0.052180
3,0.025000,54,-0.008924,-0.002682,0.017029,0.026884,0.015715,0.002574,-0.034548,0.024256,0.026556,0.060393
3,0.025000,55,-0.001697,-0.002025,0.019657,0.026884,0.014401,0.000931,-0.024693,0.024256,0.009473,0.050537
3,0.025000,56,-0.003996,-0.006624,0.012429,0.028198,0.009144,0.003888,-0.026664,0.024585,0.038711,0.035754
3,0.025000,57,-0.004325,-0.008267,0.018014,0.027213,0.006845,0.000931,-0.025350,0.025570,0.026556,0.053822
3,0.025000,58,-0.004653,-0.010567,0.018343,0.020314,0.002245,0.001588,-0.027978,0.024913,0.025242,0.052180
3,0.025000,59,-0.005967,-0.012538,0.016372,0.027541,0.003231,-0.002354,-0.027321,0.025899,0.023599,0.046924
3,0.025000,60,-0.006296,-0.015166,0.022285,0.020642,0.004217,0.001260,-0.028635,0.024585,0.000274,0.037725
3,0.025000,61,-0.005310,-0.015494,0.018343,0.015386,0.002574,-0.000383,-0.028964,0.027213,0.018343,0.030826
3,0.025000,62,-0.005639,-0.019108,0.019000,0.020971,0.000931,0.001588,-0.026993,0.025570,0.005202,0.025570
3,0.025000,63,-0.001368,-0.021736,0.019985,0.018671,0.001588,0.000274,-0.024036,0.025570,0.006516,0.020314
